Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
100 Days My Prince,Dear Husband of 100 Days,No Ji-sul,"Lee Jong-jae, Nam Sung-woo","Doh Kyung-soo, Nam Ji-hyun, Jo Sung-ha, Jo Han-chul, Kim Seon-ho, Han So-hee, Kim Jae-young","Historical, Romantic comedy",tvN,16 + 2 special,"September 10 –
October 30, 2018",2018,-,"Lee Yul is the king's nephew who enjoys spending his days playing instead of studying. He enjoys playing with the peasant children alongside his best friend and guardian, Dong-joo. One day, as he is playing with the peasant children where they are playing as Villains, Yul uses his nobility status to punish the children by beating them up, oblivious that his actions were hurting them. The children could not object to this treatment due to Yul's status. A girl, Yoon Yi-seo intervenes and chides Yul for his cruel actions. Like Yul, Yi-seo is from a noble family, but is kind, smart and compassionate. Yul instantly develops a crush on Yi-seo and this causes him to change and become more studious in order to impress her. Yi-seo's father is a general and the right-hand man of the King."
12 Signs of Love,-,Hwang Jo-yoon,Oh Jong-rok,"Yoon Jin-seo, On Joo-wan",Romantic comedy,tvN,16,"February 15 –
April 5, 2012",2012,-,"12 Signs of Love (Korean: 일년에 열두남자; Hanja: 一年에 열두男子; RR: Illyeone Yeoldunamja; lit. Twelve Men in a Year) is a 2012 South Korean television series starring Yoon Jin-seo and On Joo-wan. It aired on tvN from February 15 to April 5, 2012, on Wednesdays and Thursdays at 23:00 (KST) for 16 episodes."
12 Years Promise,"Jang Gook Becomes Dal-rae: Reunion in 12 Years, Wild Chives and Tofu Soup, Wild Chive Soybean Paste Soup, Soothed Clear Soup",Kim Yi-kyung,"Kim Do-hyung, Yoon Jae-won","Lee So-yeon, Namkoong Min, Lee Tae-im, Yoon So-hee, Lee Won-keun, Ryu Hyo-young","Romantic comedy, Family","JTBC
OBS TV (2018)",26,"March 22 –
June 29, 2014",2014,-,"In 2002, on the night of Korea's momentous World Cup win, high school sweethearts Jang Guk (Lee So-yeon) and Yu Jun-su (Namkoong Min) sleep together and Jang Guk ends up pregnant. They are given permission to marry by Jun-su's father, but after a horrible accident, Jang Guk loses the baby. Their mothers who were against the relationship from the beginning, take advantage of the situation and split them up. Jang Guk then leaves Korea to live in the U.S. and changes her name to Jang Dal-lae. Twelve years later, they reunite and get entangled in each other's lives again. The only problem is that Yu Jun-su doesn't know it's her and Jang Guk doesn't want him to know."
18 Again,-,"Ahn Eun-bin, Choi Yi-ryool, Kim Do-yeon",Ha Byung-hoon,"Kim Ha-neul, Yoon Sang-hyun, Lee Do-hyun","Romance, Comedy, Fantasy drama, Coming-of-age",JTBC,16,"September 21 –
November 10, 2020",2020,-,"Jung Da-jung (Kim Ha-neul) and Hong Dae-young (Yoon Sang-hyun) are married and have a set of fraternal twins, Hong Shi-ah (Roh Jeong-eui) and Hong Shi-woo (Ryeoun). At first, they have a perfectly happy marriage despite having children at a very young age and having financial problems. Years later, their happy marriage starts crumbling when 37-year-old Da-jung files for divorce and their 18-year-old good looking twins start ignoring Dae-young, except for pocket money. Furthermore, Dae-young's life turns more miserable when he loses his job, after his boss promotes his nephew who has worked in the company for only 4 years, while relocating Dae-young to Busan."
1st Republic (TV series),The First Republic,-,-,-,"Period drama, Docudrama, Biopic",MBC TV,39,"2 April 1981 –
11 February 1982","1981, 1982",-,"The show covers events from 1945 to 1960, including the 1945 liberation of Korea from the Japanese Empire, the 1950 Korean War, and the 1960 establishment of the Second Republic of Korea."
365: Repeat the Year,-,"Lee Seo-yun, Lee Soo-kyung",Kim Kyung-hee,"Lee Joon-hyuk, Nam Ji-hyun, Kim Ji-soo, Yang Dong-geun","Mystery, Fantasy",MBC TV,24,"March 23 –
April 28, 2020",2020,-,"Ten people are given the possibility to go back in time, but mysterious events start to happen."
4 Legendary Witches,"Legendary Witches, The Legendary Witches, The Legendary Witch, Witches of Legend, Legend of the Witch, The Witches Coven, Legendary Women",Gu Hyun-sook,Joo Sung-woo,"Han Ji-hye, Ha Seok-jin, Go Doo-shim, Oh Hyun-kyung, Ha Yeon-soo","Romance, Revenge, Family",MBC TV,40,"October 25, 2014 –
March 8, 2015","2014, 2015",-,"Orphan Moon Soo-in marries Ma Do-hyun, the eldest son of the chaebol family who owns bakery corporation Shinhwa Group. But when Do-hyun dies unexpectedly, the Ma family makes Soo-in take the fall for their illegal business practices and she ends up in jail for stock manipulation that she did not commit. At Cheongju's Penitentiary for Women, her cellmates are kind-hearted and consists of Shim Bok-nyeo who was falsely accused of killing her husband and son; tough-as-nails, foul-mouthed Son Poong-geum who was convicted of fraud, and former model Seo Mi-oh who's been charged with the attempted murder of her boyfriend, Shinhwa Group's youngest son."
49 Days,Pure Love,So Hyun-kyung,Jo Young-kwang,"Lee Yo-won, Nam Gyu-ri, Jung Il-woo, Jo Hyun-jae, Bae Soo-bin, Seo Ji-hye","Romance, Melodrama, Fantasy, Body swap",SBS TV,20,"March 16 –
May 19, 2011",2011,-,"Gullible yet cheerful Shin Ji-hyun (Nam Gyu-ri) is living a perfect life: she is the only daughter of wealthy, doting parents and is surrounded by supportive best friends. She is also engaged to be married to the perfect man, Kang Min-ho (Bae Soo-bin), in just a few weeks. Meanwhile, Song Yi-kyung (Lee Yo-won) is in an existential crisis following her boyfriend's tragic death. She works third shift at a convenience store, sleeps in the afternoon, and often spends what little time she has left in the day contemplating suicide."
5th Republic (TV series),The Fifth Republic,Yoo Jung-soo,"Im Tae-woo, Kim Sang-rae","Lee Deok-hwa, Seo In-seok, Hong Hak-pyo, Lee Jin-woo, Cha Kwang-soo, Lee Jae-yong","Period drama, Docudrama, Biopic",MBC TV,41,"April 23 –
September 1, 2005",2005,-,-
7 First Kisses,"Seven First Kisses, First Kiss for the Seventh Time",-,Jung Jung-hwa,"Lee Cho-hee, Choi Ji-woo, Lee Joon-gi, Park Hae-jin, Ji Chang-wook, Kim Jong-in, Ok Taec-yeon, Lee Jong-suk, Lee Min-ho",Romantic comedy,Naver TV Cast,8,"December 5, 2016 –
January 5, 2017","2016, 2017",-,"Min Soo-jin (Lee Cho-hee) is a Lotte Duty Free store employee who has never been in a relationship before. One day she meets the goddess of dating (Choi Ji-woo), who grants her a chance to pick — among seven men — the perfect partner for her first kiss. Her options are a religious tech billionaire (Lee Joon-gi), a serious yet romantic boss (Park Hae-jin), a sexy secret agent (Ji Chang-wook), an adorable younger male friend (Kai), an innocent chaebol heir (Ok Taec-yeon), a beloved K-pop idol (Lee Jong-suk), and finally, a free-spirited travel writer (Lee Min-ho)."
7th Grade Civil Servant,"Level 7 Civil Servant, Class 7 Civil Servant",Chun Sung-il,"Kim Sang-hyup, Oh Hyun-jong","Choi Kang-hee, Joo Won","Romantic comedy, Action",MBC TV,20,"January 23 –
March 28, 2013",2013,-,"Love and espionage collide in this drama of the National Intelligence Service's rookie agents. Han Gil-ro (Joo Won) realizes his dream of becoming an international man of mystery, after a childhood spent poring over James Bond films. Kim Seo-won (Choi Kang-hee) spices things up as a goofy, yet determined agent, but it's not all 007 glamor. Both Gil-ro and Seo-won must learn what it takes to uphold their sworn duty, even at the sacrifice of their happiness — and lives."
"90 Days, Time to Love","90 Days of Love, 90 Days of Falling in Love, 90 Days of Romance",Park Hae-young,Oh Jong-rok,"Kang Ji-hwan, Kim Ha-neul, Jung Hye-young, Yoon Hee-seok","Melodrama, Romance",MBC TV,16,"November 15, 2006 –
January 4, 2007","2006, 2007",-,"Hyun Ji-seok (Kang Ji-hwan), a university professor, and Go Mi-yeon (Kim Ha-neul), a scriptwriter, were high school sweethearts who discover that they are cousins. They break up, but find themselves attracted to one another once again when they meet in Seoul four years later. They decide to abandon everything and leave for America so that they can get married. However, Ji-seok's father finds out and runs in front of a truck, committing suicide, so that his son doesn't go. Although their visas have just been issued, Ji-seok cannot marry Mi-yeon knowing that their relationship was the cause of his father's death. He abandons Mi-yeon and marries Park Jeong-ran (Jung Hye-young), the daughter of his father's business rival, who is in love with him. They have a daughter, but their marriage is loveless. Mi-yeon goes on to marry another man, Kim Tae-hoon (Yoon Hee-seok)."
A Beautiful Mind (TV series),Dr. Frankenstein,Kim Tae-hee,Mo Wan-il,"Jang Hyuk, Park So-dam, Yoon Hyun-min, Park Se-young, Huh Joon-ho","Medical, Melodrama, Mystery",KBS2,14,"June 20 –
August 2, 2016",2016,-,"Inspired by Mary Shelley's gothic novel Frankenstein, A Beautiful Mind tells the story of a world-renowned but unsympathetic neurosurgeon, and his involvement with the mysterious deaths in the hospital he works in."
A Bird That Doesn't Sing,-,Yeo Jung-mi,Kim Pyung-jung,"Oh Hyun-kyung, Hong Ah-reum, Kang Ji-sub, Kim Yu-seok, Baek Seung-hee, Ahn Jae-min","Revenge, Melodrama, Soap opera",tvN,156,"May 4, 2015 –
January 1, 2016","2015, 2016",-,A 10 billion won insurance murder case causes Oh Ha-nui (Hong Ah-reum) to lose everything. She sets out to take revenge upon Chun Mi-ja (Oh Hyun-kyung) who caused her misfortune.
A Bloody Lucky Day,-,"Kim Min-sung, Song Han-na",Pil Gam-seong,"Lee Sung-min, Yoo Yeon-seok, Lee Jung-eun","Psychological drama, Thriller",tvN,10,"November 20 –
December 19, 2023",2023,-,"Oh Taek (Lee Sung-min), an ordinary taxi driver, is offered a high fee to take a passenger to Mokpo. He reluctantly agrees, but soon realizes that his passenger is a serial killer. Oh Taek must now embark on a terrifying drive, using all of his cunning and resourcefulness to survive."
A Daughter Just Like You,-,-,-,"Lee Soo-kyung, Kang Kyung-joon, Kim Hye-ok, Kil Yong-woo","Family drama, Romance",MBC,120,"May 18 –
November 16, 2015",2015,-,"Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin), In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws."
A Gentleman's Dignity,-,Kim Eun-sook,"Shin Woo-chul, Kwon Hyeok-chan","Jang Dong-gun, Kim Ha-neul, Kim Soo-ro, Kim Min-jong, Lee Jong-hyuk","Romance, Comedy, Drama",SBS,20,"26 May –
12 August 2012",2012,-,"A Gentleman's Dignity is about the careers and love lives of urban professionals. It tells the story of four men in their forties who have been friends since they were eighteen as they go through love, breakups, successes, and failures."
A Girl Who Sees Smells,Girl Who Sees Smell,Lee Hee-myung,"Baek Soo-chan, Oh Chung-hwan","Park Yoo-chun, Shin Se-kyung, Namkoong Min, Yoon Jin-seo","Romance, Supernatural",SBS TV,16,"April 1 –
May 21, 2015",2015,-,"Choi Eun-seol (Shin Se-kyung) arrives home to find her parents murdered. When they are later found with a barcode carved into their skin, detective Oh Jae-pyo (Jung In-gi) realizes that the now-comatose daughter Eun-seol is the sole surviving witness. That same night, Choi Moo-gak (Park Yoo-chun) is at the hospital visiting his younger sister (Kim So-hyun), also named Choi Eun-seol, who is treated for mild injuries after a bus accident. However, when Moo-gak returns to her bed, he finds her dead with her throat slit."
A Good Day to Be a Dog,-,Baek In-ah,Kim Dae-woong,"Park Gyu-young, Cha Eun-woo, Lee Hyun-woo","Romantic comedy, Fantasy",MBC TV,14,"October 11, 2023 –
January 10, 2024","2023, 2024",-,"The drama tells the story of the romance between a woman cursed to turn into a dog whenever she kisses someone, and a man who can break the curse, but is afraid of dogs due to a childhood trauma."
A Happy Woman,"Blissful Woman, Happy Women",Park Jung-ran,Kim Jong-chang,"Yoon Jung-hee, Kim Suk-hoon, Jung Gyu-woon","Romance, Drama",Korean Broadcasting System,58,"January 6 –
July 21, 2007",2007,-,"As the titular ""happy woman,"" Lee Ji-yeon (Yoon Jung-hee) is an accessory designer with a cheerful, go-getting personality despite often being looked down upon because of her humble educational and family background. She ends up in a love triangle with her wealthy husband (Jung Gyu-woon) and a lonely detective (Kim Suk-hoon), as the drama explores what happiness means for a woman in terms of family, work, and love."
A Hundred Memories,-,"Yang Hee-seung, Kim Bo-ram",Kim Saang-ho,"Kim Da-mi, Shin Ye-eun, Heo Nam-jun","Coming-of-age, Romance",JTBC,12,"September 13 –
October 19, 2025",2025,-,"Set in the 1980s, the series follows Go Young-rye, a model bus hostess on route #100 and university hopeful, and Seo Jong-hee, a charismatic newcomer. Their friendship with each other and romantic entanglement with Han Jae-pil, their destined first love—son of a wealthy department store owner—lead to a coming-of-age tale of youth, love, and growth."
A Hundred Year Legacy,"A 100-Year Legacy, A Hundred Years' Inheritance, A Century of Tradition",Gu Hyun-sook,Joo Sung-woo,"Eugene, Lee Jung-jin",Romance,MBC TV,50,"January 5 –
June 23, 2013",2013,-,"Min Chae-won is the eldest granddaughter of a family living in an outskirts of Seoul who have been running a noodle factory for three generations. Married for three years to Chul-gyu, whose rich family owns the major corporation Golden Dragon Food, Chae-won has had a difficult life because her mother-in-law fiercely opposed the match and would not accept her."
A Killer Paradox,Murder DIEary,Kim Da-min,Lee Chang-hee,"Choi Woo-shik, Son Suk-ku, Lee Hee-joon","Crime thriller, Dark comedy",Netflix,8,"February 9, 2024",2024,-,"Lee Tang, who was discharged from the army six months ago, struggles with his life and dreams of visiting Canada. He works at a convenience store and relies heavily on his parents for support. One night, he is assaulted by a customer, leading to a violent confrontation and the subsequent murder of the customer. Tang is guilt-ridden and prepares to turn himself in but discovers his victim was a serial killer. Dutiful detective Jang Nan-gam remains uncooperative and keeps investigating. It is unclear if Nan-gam is onto him, but Tang continues to kill, revealing his hidden talent for detecting and killing previously unpunished evildoers without leaving any traceable evidence. The story explores the question of whether Tang is serving justice or evading it."
A Korean Odyssey,-,"Hong Jung-eun, Hong Mi-ran","Park Hong-kyun, Kim Jung-hyun, Kim Byung-soo","Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi, Jang Gwang","Fantasy, Romance, Comedy, Horror",tvN,20,"December 23, 2017 –
March 4, 2018","2017, 2018",-,"In 2017, Son Oh-gong (Lee Seung-gi) and Woo Ma-wang (Cha Seung-won) are in conflict with each other as they look for a true light in a dark world where evil thrives. From there, Son Oh-gong is bound to his protective role towards Jin Seon-mi (Oh Yeon-seo), the little girl he had met years ago. Having made a contract with Seon-mi 25 years ago, entitling her to seek help from Son Oh-gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago."
A Little Love Never Hurts,"Give Love Away, Love Doesn't Go Away",Choi Hyun-kyung,"Kim Nam-won, Choi Byung-gil","Hong Soo-hyun, Lee Sang-yeob, Shin Da-eun, Seo Ji-seok","Romantic comedy, Family drama",MBC TV,50,"September 28, 2013 –
March 30, 2014","2013, 2014",-,-
A Love So Beautiful (South Korean TV series),-,"Choi Yu-jeong, Jang Yu-yeon",Seo Min-jeong,"Kim Yo-han, So Joo-yeon, Yeo Hoe-hyun, Jo Hye-joo, Jeong Jin-hwan","Romantic comedy, Coming-of-age",KakaoTV,24,"December 28, 2020 –
February 20, 2021","2020, 2021",-,"The series is a story of five high school friends and their journey through high school to adulthood. Seventeen-year-old Shin Sol-i (So Joo-yeon) is a cheerful female student from Chun Ji High School. She has a crush on her fellow student and neighbor Cha Heon (Kim Yo-han). She repeatedly confesses her love to Cha Heon, who appears distant, but is in fact awkward when it comes to expressing his feelings. Woo Dae-seong (Yeo Hoe-hyun), a national swimmer, transfers to Chun Ji High School and falls in love with Shin Sol-i."
A Love to Kill,"Knock Out by Love, This Love I Want to Kill, Detestable Love",Lee Kyung-hee,Kim Kyu-tae,"Rain, Shin Min-a, Kim Sa-rang, Lee Ki-woo","Melodrama, Romance",KBS2,16,"31 October –
20 December 2005",2005,-,"Kang Bok-gu (Rain) is a skilled K-1 fighter. However, he has never tried to win a single fight, as he has no desire for the attention that will come with a title. He lives in the same house with Han Da-jung (Kim Sa-rang), who saved him from a fire when they were teenagers. Racked by guilt that she became scarred as a result and knowing her love for him, Bok-gu intends to spend the rest of his life with her, even though he is not in love with her. After years of being estranged from his older brother Kang Min-gu (Kim Young-jae), Bok-gu finally reconciles with him. However, the reunion is short-lived. Min-gu attempts suicide upon learning of the engagement of his ex-girlfriend, Cha Eun-suk (Shin Min-ah)."
A Man Called God,The Man Almighty,Lee Hong-gu,Lee Hyung-sun,"Song Il-kook, Han Chae-young, Kim Min-jong, Han Go-eun, Yoo In-young","Action, Romance",MBC,24,"March 6 –
May 23, 2010",2010,-,"Choi Kang-ta is a super agent with a feared reputation who gains powers similar to a god. As a child, he lost his parents and was adopted by an American couple. After becoming an adult, he returns to Korea to exact revenge on the murderer of his father. He learns that there were four people responsible for his father's death. In the midst of carrying out his plans, his partner Vivian betrays him, putting his life in danger. He is nursed back to health by Bo-bae, a reporter he met by chance, and as he falls in love with her, his beliefs are shaken. After recovering from his wounds, he settles down in a slum neighborhood where he befriends the poor residents. For the first time in his life, he is surrounded by warmth and love in his new home, and finds peace within himself. But Hwang Woo-hyun, a high-ranking official at the Korean Central Intelligence Agency and heir to the Hwanglim Group empire, becomes enraged with jealousy that Choi Kang-ta stole Bo-bae away from him and decides to have him eliminated."
A Model Family,-,Lee Jae-gon,Kim Jin-woo,"Jung Woo, Park Hee-soon, Yoon Jin-seo, Park Ji-yeon","Crime, Thriller",Netflix,10,"August 12, 2022",2022,-,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier."
A New Leaf (TV series),"Reformation, Repentance",Choi Hee-ra,"Park Jae-bum, Oh Hyun-jong","Kim Myung-min, Park Min-young, Kim Sang-joong, Chae Jung-an","Drama, Legal drama, Romance",MBC TV,16,"April 30 –
June 26, 2014",2014,-,"Kim Seok-joo is a hotshot corporate lawyer; he is cold, successful, and a heartless shark at his job. But after he gets into an accident, Seok-joo is diagnosed with amnesia. The memory loss motivates him to discover who he really is and turn over a new leaf. While trying to recover his memory and identity, the man who in the past did not mind playing foul to succeed gets the chance to look at life, people and society from a completely different point of view. But this personality change puts him at odds with his law firm, and Seok-joo finds himself going up against his colleagues as he wages a righteous battle against social ills."
A Piece of Your Mind,-,Lee Sook-yeon,Lee Sang-yeob,"Jung Hae-in, Chae Soo-bin, Lee Ha-na, Kim Sung-kyu",Melodrama,tvN,12,"March 23 –
April 28, 2020",2020,-,"A drama-romance between Moon Ha-won (Jung Hae-In) and Han Seo-woo (Chae Soo-Bin). Moon Ha-won is an AI programmer and he is the founder of AH Company. He is a consistent person with a good heart. Meanwhile, Han Seo-woo works as a classical music recording engineer. Her life is unstable without a family or house, but she is a positive person."
A Place in the Sun (South Korean TV series),The Sun's Seasons,Lee Eun-joo,Kim Won-yong,"Oh Chang-seok, Yoon So-yi, Choi Sung-jae, Ha Si-eun","Melodrama, Revenge",KBS2,156,"August 26, 2018 –
May 31, 2019","2018, 2019",-,A man assumes a new identity after a near-death car accident to seek revenge.
A Pledge to God,A Promise with the Gods,Hong Young-hee,Yoon Jae-moon,"Han Chae-young, Bae Soo-bin, Oh Yoon-ah, Lee Chun-hee","Melodrama, Family drama",MBC TV,24,"November 24, 2018 –
February 16, 2019","2018, 2019",-,"Little Hyeon Woo is gravely ill and needs a bone marrow transplant. His current parents are not compatible donors. His doctor advises his parents that the cord blood of a sibling could be a potential donor. However, his birth parents are no longer married to each other."
A Poem a Day,-,"Myung Soo-hyun, Baek Sun-woo, Choi Bo-rim",Han Sang-jae,"Lee Yu-bi, Lee Joon-hyuk, Jang Dong-yoon","Medical, Slice of life",TvN,16,"March 26 –
May 15, 2018",2018,-,"The story of the lives of people who work at the hospital like physical therapists, rehabilitation therapists, radiographers, nurses, medical trainees and more."
A Sea of Her Own,-,"Kim Mi-Jung, Lee Jung-Dae",Han Chul-Kyung,"Oh Seung-ah, Kim Joo-yong, Han Yoo-yi, Choi Sung-jae","Period drama, Family",KBS,120,"February 27 –
August 11, 2017",2017,-,"A Sea of Her Own (Korean: TV소설 그 여자의 바다; lit. TV Novel: Sea of the Woman) is a 2017 South Korea morning soap opera starring Oh Seung-ah, Kim Joo-yong , Han Yoo-yi and Choi Sung-jae. It aired on KBS2 from February 27, 2017 on Mondays to Fridays at 09:00 for 120 episodes."
A Shop for Killers,-,"Ji Ho-jin, Lee Kwon","Lee Kwon, Noh Kyu-yeob","Lee Dong-wook, Kim Hye-jun",Action drama,"Disney+ (international)
Hulu (US)",8 (list of episodes),"January 17, 2024 –
present",2024,-,"The story revolves around Jeong Ji-an, a young woman whose seemingly ordinary life changes dramatically after her uncle, Jeong Jin-man, dies unexpectedly."
A Shoulder to Cry On (TV series),-,-,"Song Soo-rim, Kim Jin-chul","Kim Jae-han, Shin Ye-chan","Coming-of-age, Teen romance","WATCHA
Wavve
TVING
Viki
GagaOOLala",7,"March 15 –
March 30, 2023",2023,-,"Lee Da-yeol (Kim Jae-han) spends his time in school as an outsider, excels as an archer and a member of the archery club, while Jo Tae-hyun (Shin Ye-chan) is one of the school's most popular students, class president and with a dark secret past. One day, Da-yeol gets wrapped up in rumors after meeting Tae-hyun in the nurse's office, which puts his archery scholarship in jeopardy. Desperate to correct the misunderstanding, Da-yeol does everything he can to quell the rumors but to no avail. On the other hand, Tae-hyun is completely unremorseful and shamelessly follows and begins hanging around with Da-yeol. Without realizing it, the two became curious about each other and slowly started walking the thin line between hate and love."
A Superior Day,-,Lee Ji-hyun,Jo Nam-hyeong,"Jin Goo, Ha Do-kwon, Lee Won-keun","Drama, Thriller",OCN,8,"March 13 –
May 1, 2022",2022,-,"A Superior Day (Korean: 우월한 하루; RR: Uwolhan haru) is a 2022 South Korean television series directed by Jo Nam-hyeong and starring Jin Goo, Ha Do-kwon, and Lee Won-keun. Based on webtoon by Team Getname, this series depicts 24-hour runaway thriller in which only the most superior survives, in which the most ordinary man must kill the serial killer who lives next door to save his kidnapped daughter. It premiered on OCN on March 13, 2022, and aired every Sunday at 22:30 (KST)."
A Tale of Two Sisters (TV series),"Sincerity is the Way of Heaven, Faith Moves Heaven, Moving Heaven","Kim Hyun-hee, Kang Sung-jin",Kim Myung-wook,"Park Se-young, Lee Hae-in, Yoo Gun, Park Jae-jung","Drama, Romance, Family",KBS1,135,"29 April –
1 November 2013",2013,-,"Choi Se-young works part-time for a broadcasting company, and dreams of becoming an announcer. She was adopted when she was a young child. After she reunites with her birth mother, she becomes torn between her adoptive family and biological family. She goes through hardships between Yerin, but still forgives her."
A Thousand Days' Promise,A Promise of a Thousand Days,Kim Soo-hyun,Jung Eul-young,"Soo Ae, Kim Rae-won","Romance, Melodrama",Seoul Broadcasting System,20,"17 October –
20 December 2011",2011,-,"Lee Seo-yeon, a free-spirited woman, is having a secret affair with Park Ji-hyung, an architect who has a fiancée. Upon hearing that Ji-hyung's parents set the date for his wedding, Seo-yeon splits up with him. But she has no time to lament over her painful breakup, as she gets diagnosed with early on-set Alzheimer's, a very unlikely disease for a 30-year-old woman. Ji-hyung happens to learn the shocking fact, and he breaks off his engagement only two days before the wedding to return to his ex-girlfriend. Despite vehement opposition from his parents and even from Seo-yeon herself, he never gives up on her and marries her without delay. The doting husband is devoted to taking care of his ailing wife, who is losing her ability to remember. Despite her distressing condition, the couple tries to hang on to love and experience it to the end. They have a baby girl and find happiness in their married life from time to time, even though both are well aware that a tragic end awaits them."
A Thousand Kisses (TV series),-,Park Jung-ran,Yoon Jae-moon,"Seo Young-hee, Ji Hyun-woo, Ryu Jin, Kim So-eun","Romance, Melodrama",Munhwa Broadcasting Corporation,50,"August 20, 2011 –
February 5, 2012","2011, 2012",-,"Woo Joo-young (Seo Young-hee) is the eldest daughter in the family and have come through hardships in life thanks to her bright and caring personality. Her husband Tae-kyung has an affair which ends in their divorce. One day, Joo-young takes her son Chan-noh to a soccer game and meets Jang Woo-bin (Ji Hyun-woo), a former national soccer player who's now a sports agent. Chan-noh warms to Woo-bin and this leads to a close friendship between Joo-young and Woo-bin. Woo-bin romances the divorced single mom, but their differences in age, social status and life experience create obstacles to their relationship."
A Time Called You,-,Choi Hyo-bi,Kim Jin-won,"Ahn Hyo-seop, Jeon Yeo-been, Kang Hoon","Time travel, Mystery, Romance",Netflix,12,"September 8, 2023",2023,-,"A Time Called You is a story about Jun-hee, who is still grieving the loss of her boyfriend Yeon-jun in the year 2023, a year after his passing. She somehow travels back in time to 1998 and wakes up inhabiting the body of a different person, 18-year-old Min-ju. As she navigates this new reality, she meets Si-heon, who bears an uncanny resemblance to her deceased boyfriend, adding to the emotional complexity of her journey."
A Virtuous Business,-,Choi Bo-rim,Jo Woong,"Kim So-yeon, Yeon Woo-jin, Kim Sung-ryung, Kim Sun-young, Lee Se-hee",Comedy drama,JTBC,12,"October 12 –
November 17, 2024",2024,-,"The plot follows the independence, growth and friendship of the four Bangpan Sisters, who jump into door-to-door sales of adult products in a rural village in 1992, when sex was still a taboo topic."
A Witch's Love,-,"Lee Sun-jung, Ban Ki-ri",Lee Jung-hyo,"Uhm Jung-hwa, Park Seo-joon","Romance, Comedy",tvN,16,"April 14 –
June 10, 2014",2014,-,"Sparks fly when Ji-yeon (Uhm Jung-hwa) and Dong-ha (Park Seo-joon) meet, and despite the age difference, they find a lot in common with each other, including their scarred hearts."
About Time (TV series),-,Chu Hye-mi,"Kim Hyung-sik, Park Shin-woo","Lee Sang-yoon, Lee Sung-kyung","Fantasy, Romance, Melodrama",tvN,16,"May 21 –
July 10, 2018",2018,-,"Choi Michaela (Lee Sung-kyung) is an aspiring musical actress who has the special ability to see people's life spans. One day, while she's heading off to an audition, she becomes involved in a minor car accident and meets Lee Do-ha (Lee Sang-yoon), a chaebol son and the president of cultural foundation MK Entertainment. After an unexpected discovery that her life clock stops whenever she's with him, she becomes determined to keep him close at all costs. Things take an interesting and painful turn as the two begin to fall in love."
Abyss (TV series),-,Moon Soo-yeon,Yoo Je-won,"Park Bo-young, Ahn Hyo-seop, Lee Sung-jae","Romantic comedy, Fantasy, Crime",tvN,16,"May 6 –
June 25, 2019",2019,-,"Go Se-yeon (Park Bo-young) is a beautiful prosecution lawyer at the top of her game, and Cha Min (Ahn Hyo-seop) is her friend, an unattractive but rich heir to a cosmetics empire. They are both revived into different bodies by supernatural beings using an ""Abyss"" after their deaths in separate incidents. The ""Abyss"" is a celestial object which has the power to revive anything that has died; the reincarnated bodies take on the appearance of that person's soul. Go Se-yeon takes on a 'plainer' appearance, whilst Cha Min becomes very attractive and young; virtually the opposite of before. They start working together to find out the reason for their revival and who caused Go Se-yeon's death."
Ad Genius Lee Tae-baek,Advertising Genius Lee Tae-baek,"Seol Joon-seok, Lee Jae-ha, Lee Yoon-jong","Park Ki-ho, Lee So-yeon","Jin Goo, Park Ha-sun, Jo Hyun-jae, Han Chae-young","Workplace drama, Romance",KBS2,16,"February 4 –
March 26, 2013",2013,-,Drama series depicts the lives and love of people working in the advertisement industry.
Adamas (TV series),-,Choi Tae-kang,Park Seung-woo,"Ji Sung, Seo Ji-hye, Lee Soo-kyung","Fantasy, Romance",tvN,16,"July 27 –
September 15, 2022",2022,-,"Adamas tells the story of twin brothers (Ji Sung) fighting against evil to unveil the truth behind a murder that happened 22 years ago in order to clear their biological father's charges, who was accused of killing their stepfather after hearing the death penalty date that has been scheduled for their biological father."
Adult Trainee,-,-,"Yoo Hak-chan, Jeong Hyeong-gun","Ryu Ui-hyun, Cho Mi-yeon, Jo Yoo-jung, Ryeoun, Kwon Young-eun, Kim Min-gi","Romantic comedy, Teen",TVING,7,"November 12, 2021 –
November 2021",2021,-,"The series follows a group of young people and their struggles with love, and it's divided in three parts."
